instance,obj,mean_dist,std_dist,max_dist,min_dist,std_line_load,max_line_load,min_line_load,std_back_load,max_back_load,min_back_load,num_vehicle,alns_time,total_time,method,수정한 부분
problem_20_0.7,160674,40168.5,5520.13887959352,49693,36326,14.546240923345113,98.95,58.699999999999996,659.1522491048635,1773,0,4,58.02,58.02,1,없음
problem_20_0.7,160674,40168.5,5520.13887959352,49693,36326,14.546240923345113,98.95,58.699999999999996,659.1522491048635,1773,0,4,58.04,58.04,1,없음
problem_20_0.7,160674,40168.5,5520.13887959352,49693,36326,14.546240923345113,98.95,58.699999999999996,659.1522491048635,1773,0,4,58.01,58.02,1,없음
problem_30_0.7,198772,39754.4,14506.500468410704,60761,15826,6.179838185583828,99.2,83.6,628.9112497006234,1683,0,5,58.05,58.05,1,없음
problem_30_0.7,197949,39589.8,15098.365016120124,58871,15826,6.309152082490958,98.45,81.85,627.1189360878843,1683,0,5,58.11,58.11,1,없음
problem_30_0.7,197778,39555.6,13922.708423291784,58871,15826,6.181375251511593,98.45,81.85,628.9112497006234,1683,0,5,58.03,58.03,1,없음
problem_50_0.5,286959,40994.142857142855,12722.024967170366,51916,13007,11.487286672754399,99.8,67.25,659.568906830168,1977,0,7,58.2,58.21,1,없음
problem_50_0.5,284657,40665.28571428572,11333.361230257782,53631,16371,24.45003443092605,99.8,26.8,500.3413120774943,1977,554,7,58.12,58.12,1,없음
problem_50_0.5,281382,40197.42857142857,10833.303794412894,53631,18115,16.50525581103653,99.8,49.05,660.550636103806,1977,0,7,58.13,58.13,1,없음
problem_50_0.7,273093,39013.29,12101.35,53006,17662,24.44,95.4,34.9,615.46,1868,0,7,58.16,58.32,1,없음
problem_50_0.7,267893,44648.83,9833.26,57156,29883,10.6,99.7,67.0,915.17,2542,0,6,58.21,58.26,1,없음
problem_50_0.7,271394,45232.33,10632.53,57156,28898,14.53,99.7,56.9,915.17,2542,0,6,58.96,58.98,1,없음
problem_50_0.85,254673,31834.12,12469.47,45645,5075,15.59,99.77,50.83,562.94,1357,0,8,58.22,58.24,1,없음
problem_50_0.85,258394,36913.43,7747.46,46413,22783,3.12,99.9,91.87,561.58,1243,0,7,58.12,58.15,1,없음
